market_id,question,category_fallback,time_to_close_hours,volume,market_implied_prob,model_prob,model_minus_market,abs_edge,direction,edge_bucket,eligible_for_scoring
567561,Will the next Prime Minister of Hungary be Péter Magyar?,Other,623.1092414025,3490346.5433069677,0.645,0.8061441121585599,0.16114411215855984,0.16114411215855984,bullish_vs_market,large,True
550703,Will Sweden qualify for the 2026 FIFA World Cup?,Sports,623.1092414025,107805.19855699979,0.275,0.1251999538796041,-0.14980004612039594,0.14980004612039594,bearish_vs_market,medium,True
550708,Will Ukraine qualify for the 2026 FIFA World Cup?,Sports,623.1092414025,140899.94874300045,0.27,0.12389865095650375,-0.14610134904349625,0.14610134904349625,bearish_vs_market,medium,True
531202,BitBoy convicted?,Other,347.1092414025,107344.16603599946,0.1795,0.03882978347109298,-0.14067021652890702,0.14067021652890702,bearish_vs_market,medium,True
550694,Will Italy qualify for the 2026 FIFA World Cup?,Sports,623.1092414025,222351.13500099987,0.64,0.7462580114496247,0.10625801144962466,0.10625801144962466,bullish_vs_market,medium,True
568629,Will Scottie Scheffler win the 2026 Masters tournament?,Sports,647.1092414025,93911.88471300004,0.185,0.08145778686599615,-0.10354221313400384,0.10354221313400384,bearish_vs_market,medium,True
550706,Will Poland qualify for the 2026 FIFA World Cup?,Sports,623.1092414025,461478.0072570008,0.355,0.25300070379150835,-0.10199929620849163,0.10199929620849163,bearish_vs_market,medium,True
567560,Will the next Prime Minister of Hungary be Viktor Orbán?,Other,623.1092414025,3044411.392079016,0.345,0.24864472218855752,-0.09635527781144246,0.09635527781144246,bearish_vs_market,medium,True
567564,Will the next Prime Minister of Hungary be István Kapitány?,Other,623.1092414025,8601447.815215958,0.0035,0.06247414342289685,0.05897414342289685,0.05897414342289685,bullish_vs_market,small,True
568630,Will Rory McIlroy win the 2026 Masters tournament?,Sports,647.1092414025,71975.08676300007,0.085,0.033967807022226446,-0.05103219297777356,0.05103219297777356,bearish_vs_market,small,True
